protocol,server.buf_size,server.rsp_size,client.buf_size,client.msg_size,num_samples,num_warmup_rounds,timeout_sec,act_sample_count,act_warmup_rounds,min,max,p99,p999,avg,median,q25,q75,lower_bound,upper_bound,num_outliers_lo,num_outliers_hi,outliers_lo,outliers_hi,scenario,instance_type,timestamp,git_hash,architecture_id
inet,1024,64,1048576,8,1000000,10000,10,9000,1000,137.225,2410.308,1371.776,1440.969,1089.232149,1140.985,968.239,1254.849,538.324,1684.764,133,2,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 10:28:13,1bd9349,5
inet,1024,128,1048576,8,1000000,10000,10,8100,900,164.682,1575.387,1387.04,1453.948,1115.105653,1152.882,1002.368,1274.332,594.422,1575.387,130,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 10:28:13,1bd9349,5
inet,1024,256,1048576,8,1000000,10000,10,9000,1000,134.777,1828.802,1354.919,1424.969,1046.680021,1106.081,927.085,1229.302,473.7595,1682.6275,304,1,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 10:28:13,1bd9349,5
inet,1024,512,1048576,8,1000000,10000,10,9000,1000,159.054,1501.245,1371.669,1425.558,1079.462347,1125.226,948.183,1241.417,508.332,1501.245,74,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 10:28:13,1bd9349,5
inet,1024,1024,1048576,8,1000000,10000,10,9000,1000,132.736,1460.205,1380.194,1425.03,1077.75622,1126.196,947.854,1268.062,467.542,1460.205,166,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 10:28:13,1bd9349,5
inet,1024,2048,1048576,8,1000000,10000,10,2000,10000,124.898,1300.525,1253.232,1288.516,910.836427,970.011,746.773,1142.717,152.857,1300.525,25,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 10:28:13,1bd9349,5
inet,1024,4096,1048576,8,1000000,10000,10,9000,1000,127.283,1565.723,1380.569,1442.133,1012.075152,1073.014,851.453,1229.579,284.264,1565.723,220,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 10:28:13,1bd9349,5
inet,1024,8192,1048576,8,1000000,10000,10,9000,1000,140.98,1504.193,1386.035,1446.772,1068.31579,1107.543,948.826,1241.892,509.227,1504.193,167,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 10:28:13,1bd9349,5
inet,1024,16384,1048576,8,1000000,10000,10,8100,900,272.766,1481.976,1387.326,1457.35,1119.948656,1171.05,997.838,1282.674,570.584,1481.976,108,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 10:28:13,1bd9349,5
inet,1024,32768,1048576,8,1000000,10000,10,1000,10000,217.893,1415.53,1286.975,1415.53,939.088266,981.998,770.648,1168.427,217.893,1415.53,0,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 10:28:13,1bd9349,5
inet,1024,65536,1048576,8,1000000,10000,10,8100,900,361.565,1696.89,1441.747,1604.054,1194.765983,1245.301,1085.739,1322.471,730.641,1677.569,109,1,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 10:28:13,1bd9349,5
inet,1024,131072,1048576,8,1000000,10000,10,9000,1000,347.809,1778.0,1588.982,1686.677,1034.756674,1046.017,835.845,1246.836,347.809,1778.0,0,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 10:28:13,1bd9349,5
inet,1024,262144,1048576,8,1000000,10000,10,6300,700,586.707,2083.497,1809.292,1890.631,1463.756878,1497.52,1313.738,1667.253,783.4655,2083.497,36,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 10:28:13,1bd9349,5
inet,1024,524288,1048576,8,1000000,10000,10,4500,500,1164.644,3019.225,2866.935,2957.932,2398.00614,2421.809,2249.358,2586.647,1743.4245,3019.225,101,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 10:28:13,1bd9349,5
inet,1024,1048576,1048576,8,1000000,10000,10,2700,300,2780.778,5297.664,5005.917,5133.184,4391.821432,4409.142,4203.43,4608.866,3595.276,5217.02,49,2,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 10:28:13,1bd9349,5
inet,1024,64,1048576,8,1000000,10000,10,1000,10000,145.82,1791.013,1632.888,1791.013,914.614966,917.78,724.358,1138.652,145.82,1760.093,0,3,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:21:31,1bd9349,5
inet,1024,128,1048576,8,1000000,10000,10,1000,10000,132.046,1942.417,1374.11,1942.417,764.954052,767.883,556.941,1026.526,132.046,1730.9035,0,1,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:21:31,1bd9349,5
inet,1024,256,1048576,8,1000000,10000,10,1000,10000,148.467,1804.268,1715.484,1804.268,966.28266,1016.067,794.154,1184.816,208.161,1770.809,24,2,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:21:31,1bd9349,5
inet,1024,512,1048576,8,1000000,10000,10,9000,1000,165.637,2057.044,1656.535,1810.587,1092.198639,1125.628,945.532,1257.127,478.1395,1724.5195,68,51,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:21:31,1bd9349,5
inet,1024,1024,1048576,8,1000000,10000,10,1000,10000,157.359,1766.15,1558.408,1766.15,1003.710509,1014.434,859.799,1178.528,381.7055,1656.6215,7,4,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:21:31,1bd9349,5
inet,1024,2048,1048576,8,1000000,10000,10,9000,1000,151.235,1901.215,1652.707,1796.141,1061.05758,1082.409,909.997,1230.379,429.424,1710.952,37,51,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:21:31,1bd9349,5
inet,1024,4096,1048576,8,1000000,10000,10,1000,10000,148.833,1826.427,1594.229,1826.427,974.950438,998.089,776.026,1209.928,148.833,1826.427,0,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:21:31,1bd9349,5
inet,1024,8192,1048576,8,1000000,10000,10,9000,1000,155.953,1986.071,1641.389,1809.373,1067.463758,1087.456,917.024,1227.715,450.9875,1693.7515,36,54,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:21:31,1bd9349,5
inet,1024,16384,1048576,8,1000000,10000,10,9000,1000,249.443,2180.539,1637.543,1889.697,1110.342774,1139.043,968.663,1250.514,545.8865,1673.2905,57,67,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:21:31,1bd9349,5
inet,1024,32768,1048576,8,1000000,10000,10,9000,1000,197.966,2291.296,1665.502,2044.895,1061.520427,1082.693,915.247,1210.092,472.9795,1652.3595,43,100,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:21:31,1bd9349,5
inet,1024,65536,1048576,8,1000000,10000,10,8100,900,257.844,2234.182,1685.003,2016.869,1145.662196,1174.064,1010.368,1275.273,613.0105,1672.6305,61,93,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:21:31,1bd9349,5
inet,1024,131072,1048576,8,1000000,10000,10,8100,900,375.715,2369.121,1738.058,2099.804,1180.244652,1203.989,1043.145,1317.685,631.335,1729.495,57,84,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:21:31,1bd9349,5
inet,1024,262144,1048576,8,1000000,10000,10,7200,800,553.737,2756.374,2315.601,2519.778,1410.691848,1399.589,1185.044,1633.699,553.737,2306.6815,0,76,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:21:31,1bd9349,5
inet,1024,524288,1048576,8,1000000,10000,10,4500,500,1196.049,3744.598,3314.872,3608.864,2406.321722,2395.695,2193.452,2618.414,1556.009,3255.857,20,59,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:21:31,1bd9349,5
inet,1024,1048576,1048576,8,1000000,10000,10,2700,300,2490.569,5683.855,5228.58,5592.486,4258.723005,4272.561,3993.073,4565.761,3134.041,5424.793,32,10,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:21:31,1bd9349,5
inet,1024,64,1048576,8,1000000,10000,10,8100,900,179.921,3104.094,1424.897,1522.334,1169.554309,1232.183,1057.793,1313.354,674.4515,1696.6955,182,1,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:27:27,1bd9349,5
inet,1024,128,1048576,8,1000000,10000,10,1000,10000,121.55,1180.472,1151.392,1180.472,656.412632,675.134,461.416,876.184,121.55,1180.472,0,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:27:27,1bd9349,5
inet,1024,256,1048576,8,1000000,10000,10,8100,900,136.784,1508.2,1390.921,1440.434,1130.820914,1202.23,1002.394,1288.69,572.95,1508.2,102,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:27:27,1bd9349,5
inet,1024,512,1048576,8,1000000,10000,10,1000,10000,156.995,1381.341,1312.601,1381.341,946.45944,972.636,761.975,1182.495,156.995,1381.341,0,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:27:27,1bd9349,5
inet,1024,1024,1048576,8,1000000,10000,10,9000,1000,125.873,1480.276,1343.773,1393.7,1012.938563,1038.438,858.526,1216.617,321.3895,1480.276,47,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:27:27,1bd9349,5
inet,1024,2048,1048576,8,1000000,10000,10,1000,10000,152.881,1447.524,1357.363,1447.524,962.936798,984.483,776.507,1210.342,152.881,1447.524,0,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:27:27,1bd9349,5
inet,1024,4096,1048576,8,1000000,10000,10,8100,900,185.321,1664.862,1415.302,1475.551,1184.795907,1243.221,1089.317,1316.506,748.5335,1657.2895,246,1,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:27:27,1bd9349,5
inet,1024,8192,1048576,8,1000000,10000,10,8100,900,262.074,1482.215,1395.845,1446.112,1124.946972,1184.071,1001.873,1273.558,594.3455,1482.215,94,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:27:27,1bd9349,5
inet,1024,16384,1048576,8,1000000,10000,10,9000,1000,196.248,1658.541,1405.684,1547.54,1100.162427,1135.734,969.579,1258.914,535.5765,1658.541,69,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:27:27,1bd9349,5
inet,1024,32768,1048576,8,1000000,10000,10,9000,1000,210.155,1564.27,1371.455,1492.125,1034.987817,1079.752,889.596,1226.437,384.3345,1564.27,115,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:27:27,1bd9349,5
inet,1024,65536,1048576,8,1000000,10000,10,9000,1000,253.077,1683.044,1444.639,1562.966,1106.498985,1144.76,966.108,1289.668,480.768,1683.044,39,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:27:27,1bd9349,5
inet,1024,131072,1048576,8,1000000,10000,10,8100,900,333.102,1699.436,1498.844,1633.09,1130.954275,1171.265,967.042,1337.751,410.9785,1699.436,19,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:27:27,1bd9349,5
inet,1024,262144,1048576,8,1000000,10000,10,6300,700,550.407,2034.479,1894.456,1988.395,1447.662421,1481.636,1271.629,1671.805,671.365,2034.479,15,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:27:27,1bd9349,5
inet,1024,524288,1048576,8,1000000,10000,10,4500,500,1166.153,3092.035,2885.833,3024.397,2341.052196,2367.498,2174.247,2543.477,1620.402,3092.035,71,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:27:27,1bd9349,5
inet,1024,1048576,1048576,8,1000000,10000,10,2700,300,2661.557,5250.911,4943.643,5123.532,4294.498108,4329.899,4115.055,4522.861,3503.346,5134.57,75,1,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 12:27:27,1bd9349,5
inet,1024,64,1048576,8,1000000,10000,10,1000,10000,269.433,1477.802,1419.266,1477.802,1147.836385,1209.009,1011.599,1310.26,563.6075,1477.802,11,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 13:05:58,1bd9349,5
inet,1024,128,1048576,8,1000000,10000,10,1000,10000,235.154,1370.497,1294.143,1370.497,950.498402,932.793,847.67,1090.437,483.5195,1370.497,14,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 13:05:58,1bd9349,5
inet,1024,256,1048576,8,1000000,10000,10,9000,1000,135.733,1571.242,1401.466,1475.907,1044.928498,1066.829,904.664,1231.016,415.136,1571.242,85,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 13:05:58,1bd9349,5
inet,1024,512,1048576,8,1000000,10000,10,2000,10000,121.657,215305.308,1341.759,1637.998,927.934389,887.653,600.021,1098.863,121.657,1847.126,0,1,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 13:05:58,1bd9349,5
inet,1024,1024,1048576,8,1000000,10000,10,1000,10000,147.152,1435.285,1370.289,1435.285,1013.810533,1051.741,839.263,1239.032,239.6095,1435.285,10,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 13:05:58,1bd9349,5
inet,1024,2048,1048576,8,1000000,10000,10,9000,1000,132.616,1894.361,1382.365,1441.29,1014.366936,1057.25,835.548,1247.046,218.301,1864.293,102,1,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 13:05:58,1bd9349,5
inet,1024,4096,1048576,8,1000000,10000,10,9000,1000,171.207,1493.803,1404.441,1469.725,1096.984171,1141.429,950.8,1272.295,468.5575,1493.803,35,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 13:05:58,1bd9349,5
inet,1024,8192,1048576,8,1000000,10000,10,9000,1000,153.744,1469.29,1373.3,1426.288,1028.920047,1057.537,871.023,1201.877,374.742,1469.29,31,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 13:05:58,1bd9349,5
inet,1024,16384,1048576,8,1000000,10000,10,9000,1000,155.634,1625.328,1436.178,1539.678,1026.629739,1061.754,852.523,1247.642,259.8445,1625.328,57,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 13:05:58,1bd9349,5
inet,1024,32768,1048576,8,1000000,10000,10,9000,1000,213.725,1650.389,1459.669,1591.013,1058.367474,1097.609,889.731,1253.758,343.6905,1650.389,74,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 13:05:58,1bd9349,5
inet,1024,65536,1048576,8,1000000,10000,10,9000,1000,257.693,1640.763,1462.029,1566.626,1078.869749,1117.4,924.198,1248.589,437.6115,1640.763,48,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 13:05:58,1bd9349,5
inet,1024,131072,1048576,8,1000000,10000,10,8100,900,516.952,1727.421,1551.892,1666.038,1232.054604,1270.27,1119.515,1363.589,753.404,1727.421,111,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 13:05:58,1bd9349,5
inet,1024,262144,1048576,8,1000000,10000,10,7200,800,538.108,1955.944,1802.392,1893.506,1372.551068,1392.648,1218.963,1559.939,707.499,1955.944,39,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 13:05:58,1bd9349,5
inet,1024,524288,1048576,8,1000000,10000,10,4500,500,1102.072,2993.786,2769.801,2878.285,2109.123041,2111.024,1890.271,2338.477,1217.962,2993.786,6,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 13:05:58,1bd9349,5
inet,1024,1048576,1048576,8,1000000,10000,10,2700,300,2743.003,5173.324,4964.02,5104.302,4380.80335,4415.519,4194.142,4597.263,3589.4605,5173.324,38,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-10 13:05:58,1bd9349,5
inet,1024,64,1048576,8,1000000,10000,10,9000,1000,122.895,1473.325,1383.955,1443.329,1079.260834,1132.141,942.711,1258.928,468.3855,1473.325,130,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:24:09,41bc1ff,5
inet,1024,128,1048576,8,1000000,10000,10,2000,10000,178.574,1514.091,1385.457,1467.178,1088.639219,1145.974,927.504,1287.625,387.3225,1514.091,18,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:24:09,41bc1ff,5
inet,1024,256,1048576,8,1000000,10000,10,9000,1000,133.753,1449.671,1350.448,1421.393,1050.885734,1085.944,930.438,1223.76,490.455,1449.671,119,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:24:09,41bc1ff,5
inet,1024,512,1048576,8,1000000,10000,10,1000,10000,136.449,1329.485,1293.165,1329.485,919.371583,942.432,767.105,1152.144,189.5465,1329.485,21,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:24:09,41bc1ff,5
inet,1024,1024,1048576,8,1000000,10000,10,9000,1000,132.89,1548.889,1380.653,1448.802,1067.720945,1110.043,936.405,1236.367,486.462,1548.889,142,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:24:09,41bc1ff,5
inet,1024,2048,1048576,8,1000000,10000,10,9000,1000,135.973,1558.25,1404.374,1470.373,1088.478828,1148.842,951.747,1270.565,473.52,1558.25,148,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:24:09,41bc1ff,5
inet,1024,4096,1048576,8,1000000,10000,10,1000,10000,289.99,1463.84,1410.482,1463.84,1147.710938,1189.425,1028.553,1312.024,603.3465,1463.84,17,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:24:09,41bc1ff,5
inet,1024,8192,1048576,8,1000000,10000,10,8100,900,135.025,1523.738,1432.466,1480.042,1137.751984,1195.037,1012.603,1318.893,553.168,1523.738,247,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:24:09,41bc1ff,5
inet,1024,16384,1048576,8,1000000,10000,10,1000,10000,190.208,1465.662,1356.093,1465.662,887.838768,911.522,711.286,1101.676,190.208,1465.662,0,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:24:09,41bc1ff,5
inet,1024,32768,1048576,8,1000000,10000,10,8100,900,217.755,1647.946,1420.207,1523.314,1135.542443,1190.78,1014.757,1286.457,607.207,1647.946,150,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:24:09,41bc1ff,5
inet,1024,65536,1048576,8,1000000,10000,10,9000,1000,254.174,1648.34,1458.181,1603.959,1097.874491,1144.731,961.72,1267.229,503.4565,1648.34,146,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:24:09,41bc1ff,5
inet,1024,131072,1048576,8,1000000,10000,10,8100,900,345.994,1817.485,1606.702,1723.056,1258.381888,1299.553,1158.844,1374.083,835.9855,1696.9415,171,14,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:24:09,41bc1ff,5
inet,1024,262144,1048576,8,1000000,10000,10,7200,800,584.193,1926.687,1814.234,1881.317,1394.188673,1420.083,1241.064,1572.718,743.583,1926.687,74,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:24:09,41bc1ff,5
