instance_type,cores,direction,threads,message_size,throughput,unit
16,2025_03_14T12_50_35Z,forward,1,64,500.0,Mbits/sec
16,2025_03_14T12_50_35Z,forward,1,128,999.0,Mbits/sec
16,2025_03_14T12_50_35Z,forward,1,256,1.96,Gbits/sec
16,2025_03_14T12_50_35Z,forward,1,512,3.72,Gbits/sec
16,2025_03_14T12_50_35Z,forward,1,1K,7.01,Gbits/sec
16,2025_03_14T12_50_35Z,forward,1,2K,9.51,Gbits/sec
16,2025_03_14T12_50_35Z,forward,1,4K,9.52,Gbits/sec
16,2025_03_14T12_50_35Z,forward,1,8K,9.52,Gbits/sec
16,2025_03_14T12_50_35Z,forward,1,16K,9.52,Gbits/sec
16,2025_03_14T12_50_35Z,forward,1,32K,9.52,Gbits/sec
16,2025_03_14T12_50_35Z,forward,1,64K,9.52,Gbits/sec
16,2025_03_14T12_50_35Z,forward,1,128K,9.52,Gbits/sec
16,2025_03_14T12_50_35Z,forward,1,256K,9.52,Gbits/sec
16,2025_03_14T12_50_35Z,forward,1,512K,9.52,Gbits/sec
16,2025_03_14T12_50_35Z,forward,1,1M,9.52,Gbits/sec
16,2025_03_14T12_50_35Z,forward,4,64,588.0,Mbits/sec
16,2025_03_14T12_50_35Z,forward,4,128,1.17,Gbits/sec
16,2025_03_14T12_50_35Z,forward,4,256,2.33,Gbits/sec
16,2025_03_14T12_50_35Z,forward,4,512,4.84,Gbits/sec
16,2025_03_14T12_50_35Z,forward,4,1K,7.96,Gbits/sec
16,2025_03_14T12_50_35Z,forward,4,2K,12.3,Gbits/sec
16,2025_03_14T12_50_35Z,forward,4,4K,13.9,Gbits/sec
16,2025_03_14T12_50_35Z,forward,4,8K,24.7,Gbits/sec
16,2025_03_14T12_50_35Z,forward,4,16K,36.9,Gbits/sec
16,2025_03_14T12_50_35Z,forward,4,32K,38.1,Gbits/sec
16,2025_03_14T12_50_35Z,forward,4,64K,37.8,Gbits/sec
16,2025_03_14T12_50_35Z,forward,4,128K,37.8,Gbits/sec
16,2025_03_14T12_50_35Z,forward,4,256K,28.6,Gbits/sec
16,2025_03_14T12_50_35Z,forward,4,512K,38.1,Gbits/sec
16,2025_03_14T12_50_35Z,forward,4,1M,38.1,Gbits/sec
16,2025_03_14T12_50_35Z,forward,8,64,594.0,Mbits/sec
16,2025_03_14T12_50_35Z,forward,8,128,1.21,Gbits/sec
16,2025_03_14T12_50_35Z,forward,8,256,2.14,Gbits/sec
16,2025_03_14T12_50_35Z,forward,8,512,4.75,Gbits/sec
16,2025_03_14T12_50_35Z,forward,8,1K,8.43,Gbits/sec
16,2025_03_14T12_50_35Z,forward,8,2K,9.99,Gbits/sec
16,2025_03_14T12_50_35Z,forward,8,4K,11.0,Gbits/sec
16,2025_03_14T12_50_35Z,forward,8,8K,18.0,Gbits/sec
16,2025_03_14T12_50_35Z,forward,8,16K,33.3,Gbits/sec
16,2025_03_14T12_50_35Z,forward,8,32K,46.8,Gbits/sec
16,2025_03_14T12_50_35Z,forward,8,64K,47.7,Gbits/sec
16,2025_03_14T12_50_35Z,forward,8,128K,49.8,Gbits/sec
