instance_type,cores,direction,threads,message_size,throughput,unit
c6i.2xlarge,4,forward,1,64,59.8,Mbits/sec
c6i.2xlarge,4,forward,1,128,120.0,Mbits/sec
c6i.2xlarge,4,forward,1,256,226.0,Mbits/sec
c6i.2xlarge,4,forward,1,512,445.0,Mbits/sec
c6i.2xlarge,4,forward,1,1K,869.0,Mbits/sec
c6i.2xlarge,4,forward,1,2K,1.6,Gbits/sec
c6i.2xlarge,4,forward,1,4K,2.93,Gbits/sec
c6i.2xlarge,4,forward,1,8K,4.88,Gbits/sec
c6i.2xlarge,4,forward,1,16K,6.35,Gbits/sec
c6i.2xlarge,4,forward,1,32K,6.67,Gbits/sec
c6i.2xlarge,4,forward,1,64K,10.5,Gbits/sec
c6i.2xlarge,4,forward,1,128K,8.06,Gbits/sec
c6i.2xlarge,4,forward,1,256K,3.05,Gbits/sec
c6i.2xlarge,4,forward,1,512K,2.82,Gbits/sec
c6i.2xlarge,4,forward,1,1M,2.35,Gbits/sec
c6i.2xlarge,4,forward,1,64,68.9,Mbits/sec
c6i.2xlarge,4,forward,1,128,122.0,Mbits/sec
c6i.2xlarge,4,forward,1,256,221.0,Mbits/sec
c6i.2xlarge,4,forward,1,512,397.0,Mbits/sec
c6i.2xlarge,4,forward,1,1K,828.0,Mbits/sec
c6i.2xlarge,4,forward,1,2K,1.54,Gbits/sec
c6i.2xlarge,4,forward,1,4K,2.76,Gbits/sec
c6i.2xlarge,4,forward,1,8K,4.6,Gbits/sec
c6i.2xlarge,4,forward,1,16K,5.79,Gbits/sec
c6i.2xlarge,4,forward,1,32K,6.57,Gbits/sec
c6i.2xlarge,4,forward,1,64K,8.74,Gbits/sec
c6i.2xlarge,4,forward,1,128K,6.18,Gbits/sec
c6i.2xlarge,4,forward,1,256K,1.73,Gbits/sec
c6i.2xlarge,4,forward,1,512K,1.88,Gbits/sec
c6i.2xlarge,4,forward,1,1M,1.61,Gbits/sec
c6i.2xlarge,4,forward,1,64,62.8,Mbits/sec
c6i.2xlarge,4,forward,1,128,124.0,Mbits/sec
c6i.2xlarge,4,forward,1,256,256.0,Mbits/sec
c6i.2xlarge,4,forward,1,512,453.0,Mbits/sec
c6i.2xlarge,4,forward,1,1K,890.0,Mbits/sec
c6i.2xlarge,4,forward,1,2K,1.63,Gbits/sec
c6i.2xlarge,4,forward,1,4K,2.95,Gbits/sec
c6i.2xlarge,4,forward,1,8K,5.03,Gbits/sec
c6i.2xlarge,4,forward,1,16K,7.3,Gbits/sec
c6i.2xlarge,4,forward,1,32K,9.59,Gbits/sec
c6i.2xlarge,4,forward,1,64K,11.6,Gbits/sec
c6i.2xlarge,4,forward,1,128K,9.57,Gbits/sec
c6i.2xlarge,4,forward,1,256K,2.53,Gbits/sec
c6i.2xlarge,4,forward,1,512K,2.99,Gbits/sec
c6i.2xlarge,4,forward,1,1M,3.84,Gbits/sec
c6i.2xlarge,4,forward,1,2M,93.5,Mbits/sec
c6i.2xlarge,4,forward,1,4M,183.0,Mbits/sec
c6i.2xlarge,4,forward,1,64,70.6,Mbits/sec
c6i.2xlarge,4,forward,1,128,133.0,Mbits/sec
c6i.2xlarge,4,forward,1,256,249.0,Mbits/sec
c6i.2xlarge,4,forward,1,512,469.0,Mbits/sec
c6i.2xlarge,4,forward,1,1K,940.0,Mbits/sec
c6i.2xlarge,4,forward,1,2K,1.69,Gbits/sec
c6i.2xlarge,4,forward,1,4K,2.95,Gbits/sec
c6i.2xlarge,4,forward,1,8K,4.96,Gbits/sec
c6i.2xlarge,4,forward,1,16K,8.09,Gbits/sec
c6i.2xlarge,4,forward,1,32K,11.1,Gbits/sec
c6i.2xlarge,4,forward,1,64K,12.9,Gbits/sec
c6i.2xlarge,4,forward,1,128K,12.7,Gbits/sec
c6i.2xlarge,4,forward,1,256K,8.4,Gbits/sec
c6i.2xlarge,4,forward,1,512K,9.0,Gbits/sec
c6i.2xlarge,4,forward,1,1M,9.54,Gbits/sec
c6i.2xlarge,4,forward,1,2M,87.7,Mbits/sec
c6i.2xlarge,4,forward,1,4M,175.0,Mbits/sec
c6i.2xlarge,4,forward,1,64,68.6,Mbits/sec
c6i.2xlarge,4,forward,1,128,125.0,Mbits/sec
c6i.2xlarge,4,forward,1,256,238.0,Mbits/sec
c6i.2xlarge,4,forward,1,512,433.0,Mbits/sec
c6i.2xlarge,4,forward,1,1K,888.0,Mbits/sec
c6i.2xlarge,4,forward,1,2K,1.63,Gbits/sec
c6i.2xlarge,4,forward,1,4K,2.99,Gbits/sec
c6i.2xlarge,4,forward,1,8K,5.51,Gbits/sec
c6i.2xlarge,4,forward,1,16K,8.3,Gbits/sec
c6i.2xlarge,4,forward,1,32K,11.5,Gbits/sec
c6i.2xlarge,4,forward,1,64K,13.0,Gbits/sec
c6i.2xlarge,4,forward,1,128K,13.0,Gbits/sec
c6i.2xlarge,4,forward,1,256K,12.0,Gbits/sec
c6i.2xlarge,4,forward,1,512K,8.84,Gbits/sec
c6i.2xlarge,4,forward,1,1M,11.3,Gbits/sec
