direction,throughput,nr_enclaves,eid,timestamp
backward,2.52,2,2,2025-03-09T13:14:57Z
forward,10.7,2,2,2025-03-09T13:14:57Z
backward,6.31,2,1,2025-03-09T11:40:58Z
forward,10.6,2,1,2025-03-09T11:40:58Z
backward,7.0,3,1,2025-03-09T13:17:48Z
forward,10.1,3,1,2025-03-09T13:17:48Z
backward,0.00677,4,4,2025-03-09T13:49:56Z
forward,8.14,4,4,2025-03-09T13:49:56Z
backward,2.6,4,2,2025-03-09T13:20:45Z
forward,7.56,4,2,2025-03-09T13:20:45Z
backward,2.57,4,2,2025-03-09T13:50:15Z
forward,5.97,4,2,2025-03-09T13:50:15Z
backward,8.01,3,1,2025-03-09T13:47:07Z
forward,10.2,3,1,2025-03-09T13:47:07Z
backward,0.17400000000000002,4,3,2025-03-09T13:50:04Z
forward,8.08,4,3,2025-03-09T13:50:04Z
backward,0.851,3,2,2025-03-09T13:47:18Z
forward,8.72,3,2,2025-03-09T13:47:18Z
backward,0.231,3,3,2025-03-09T11:45:08Z
forward,9.16,3,3,2025-03-09T11:45:08Z
backward,0.271,4,3,2025-03-09T11:46:46Z
forward,6.7,4,3,2025-03-09T11:46:46Z
backward,8.86,3,1,2025-03-09T11:45:10Z
forward,10.1,3,1,2025-03-09T11:45:10Z
backward,7.01,1,1,2025-03-09T13:41:30Z
forward,13.6,1,1,2025-03-09T13:41:30Z
backward,7.44,2,1,2025-03-09T13:14:12Z
forward,13.2,2,1,2025-03-09T13:14:12Z
backward,7.4,3,1,2025-03-09T13:17:04Z
forward,10.3,3,1,2025-03-09T13:17:04Z
backward,0.0315,4,4,2025-03-09T11:48:07Z
forward,7.82,4,4,2025-03-09T11:48:07Z
backward,5.41,1,1,2025-03-09T11:39:30Z
forward,12.8,1,1,2025-03-09T11:39:30Z
backward,8.66,2,1,2025-03-09T13:44:26Z
forward,12.1,2,1,2025-03-09T13:44:26Z
backward,7.48,4,1,2025-03-09T13:20:00Z
forward,8.0,4,1,2025-03-09T13:20:00Z
backward,2.54,2,2,2025-03-09T11:42:16Z
forward,11.0,2,2,2025-03-09T11:42:16Z
backward,2.47,4,2,2025-03-09T11:48:05Z
