instance_type,cores,direction,threads,message_size,throughput,unit
c5.2xlarge,4,backward,1,,6.28,Gbits/sec
c5.2xlarge,4,backward,1,,6.27,Gbits/sec
c5.2xlarge,4,backward,1,,6.16,Gbits/sec
c5.2xlarge,4,backward,1,,6.88,Gbits/sec
c5.2xlarge,4,backward,1,,6.28,Gbits/sec
c5.2xlarge,4,backward,1,,6.23,Gbits/sec
c5.2xlarge,4,backward,1,,5.12,Gbits/sec
c5.2xlarge,4,backward,1,,5.88,Gbits/sec
c5.2xlarge,4,backward,1,,5.98,Gbits/sec
c5.2xlarge,4,backward,2,,7.4,Gbits/sec
c5.2xlarge,4,backward,2,,7.45,Gbits/sec
c5.2xlarge,4,backward,2,,6.99,Gbits/sec
c5.2xlarge,4,backward,2,,7.74,Gbits/sec
c5.2xlarge,4,backward,2,,7.48,Gbits/sec
c5.2xlarge,4,backward,2,,7.4,Gbits/sec
c5.2xlarge,4,backward,2,,5.97,Gbits/sec
c5.2xlarge,4,backward,2,,7.1,Gbits/sec
c5.2xlarge,4,backward,2,,6.97,Gbits/sec
c5.2xlarge,4,backward,3,,8.38,Gbits/sec
c5.2xlarge,4,backward,3,,8.34,Gbits/sec
c5.2xlarge,4,backward,3,,7.88,Gbits/sec
c5.2xlarge,4,backward,3,,8.6,Gbits/sec
c5.2xlarge,4,backward,3,,8.4,Gbits/sec
c5.2xlarge,4,backward,3,,8.39,Gbits/sec
c5.2xlarge,4,backward,3,,6.99,Gbits/sec
c5.2xlarge,4,backward,3,,7.81,Gbits/sec
c5.2xlarge,4,backward,3,,7.83,Gbits/sec
c5.2xlarge,4,backward,4,,8.75,Gbits/sec
c5.2xlarge,4,backward,4,,8.7,Gbits/sec
c5.2xlarge,4,backward,4,,8.35,Gbits/sec
c5.2xlarge,4,backward,4,,9.25,Gbits/sec
c5.2xlarge,4,backward,4,,8.78,Gbits/sec
c5.2xlarge,4,backward,4,,8.8,Gbits/sec
c5.2xlarge,4,backward,4,,7.48,Gbits/sec
c5.2xlarge,4,backward,4,,8.16,Gbits/sec
c5.2xlarge,4,backward,4,,8.21,Gbits/sec
c5.2xlarge,4,backward,5,,9.47,Gbits/sec
