num_clients,pipeline,proxy_on,proxy_tool,proxy_reuse_depth,proxy_so_no_delay,proxy_so_nonblocking,context,setup,instance_type,datetime,git_ref,run_id,rps,avg_latency_ms,min_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,op
10,3,,,,,,host,direct,c6i.16xlarge,2025-03-14 13:47:29,ce3a15b,33aa11b5-2eb3-4748-8028-a357d02f27b7,369011.06,0.05,0.016,0.055,0.063,0.079,0.487,SET
10,3,,,,,,host,direct,c6i.16xlarge,2025-03-14 13:47:29,ce3a15b,3636e631-63fa-4ca8-b9d8-78dd11826884,364970.81,0.051,0.016,0.055,0.063,0.079,0.479,SET
10,3,,,,,,host,direct,c6i.16xlarge,2025-03-14 13:47:29,ce3a15b,ed7174ab-43b4-482a-81e9-3ed214263bf5,367654.41,0.052,0.016,0.047,0.063,0.095,0.671,SET
10,3,True,socat,31.0,True,True,host,proxied,c6i.16xlarge,2025-03-14 13:47:29,ce3a15b,91ca0a68-534e-418e-b597-a70cf580f63c,296741.84,0.086,0.056,0.087,0.095,0.271,1.983,SET
10,3,True,socat,31.0,True,True,host,proxied,c6i.16xlarge,2025-03-14 13:47:29,ce3a15b,92f19968-43c1-4173-9710-192c498fed71,280117.66,0.092,0.056,0.087,0.119,0.399,1.623,SET
10,3,True,socat,31.0,True,True,host,proxied,c6i.16xlarge,2025-03-14 13:47:29,ce3a15b,9cf260ef-19da-4576-90f9-326d4a04fa5d,291551.03,0.088,0.056,0.087,0.095,0.391,1.895,SET
10,3,,,,,,host,direct,c6i.16xlarge,2025-03-14 13:47:42,ce3a15b,204b0487-a1e8-4e0e-b422-c95befec15b0,373141.78,0.051,0.016,0.047,0.063,0.071,0.807,SET
10,3,True,socat,31.0,True,True,enclave,proxied,c6i.16xlarge,2025-03-14 13:47:56,ce3a15b,63926ee2-aff6-4502-9939-2ef35b7edbf9,23502.23,1.252,0.12,1.351,1.847,2.039,7.415,SET
10,3,,,,,,host,direct,c6i.16xlarge,2025-03-14 13:47:56,ce3a15b,2aa1eb79-a4fb-4d46-aef0-1a19db692ce8,361018.03,0.051,0.016,0.055,0.063,0.095,0.639,SET
10,3,,,,,,host,direct,c6i.16xlarge,2025-03-14 13:47:56,ce3a15b,c1482db0-40a5-4d8f-a73d-d08d57f66ed2,375947.38,0.05,0.016,0.047,0.063,0.071,0.503,SET
10,3,,,,,,host,direct,c6i.16xlarge,2025-03-14 13:47:56,ce3a15b,cc710e2e-763a-4105-8e37-fdfaed488727,363643.62,0.051,0.016,0.055,0.063,0.071,0.623,SET
10,3,True,socat,31.0,True,True,host,proxied,c6i.16xlarge,2025-03-14 13:47:56,ce3a15b,1c1257b5-ba92-45ce-9aeb-ebb0b853a82c,283291.78,0.09,0.056,0.079,0.095,0.535,2.239,SET
10,3,True,socat,31.0,True,True,host,proxied,c6i.16xlarge,2025-03-14 13:47:56,ce3a15b,9f9ef72c-1bfa-490c-ba5c-e12b518e0893,272485.0,0.095,0.056,0.079,0.103,0.623,2.743,SET
10,3,True,socat,31.0,True,True,host,proxied,c6i.16xlarge,2025-03-14 13:47:56,ce3a15b,c377964c-14eb-4b07-94a3-ba394dd0bca4,284096.59,0.091,0.056,0.087,0.111,0.431,1.927,SET
10,3,True,socat,31.0,True,True,enclave,proxied,c6i.16xlarge,2025-03-17 09:50:33,64d5437,c8138652-cabc-433a-8059-264f7accbbdb,20492.21,1.428,0.112,1.487,1.879,2.063,7.863,SET
10,3,,,,,,host,direct,c6i.16xlarge,2025-03-17 09:50:33,64d5437,203b8189-6f22-4956-9022-64a41a0792d7,362326.09,0.05,0.016,0.047,0.063,0.079,1.135,SET
10,3,,,,,,host,direct,c6i.16xlarge,2025-03-17 09:50:33,64d5437,3968bc6e-4841-4f4e-a15d-2a17b1ec3aba,373141.78,0.05,0.016,0.047,0.063,0.079,0.567,SET
10,3,,,,,,host,direct,c6i.16xlarge,2025-03-17 09:50:33,64d5437,68c446e1-cf2f-4f34-b913-2c6d515a275c,367654.41,0.05,0.016,0.055,0.063,0.071,0.535,SET
10,3,,,,,,host,direct,c6i.16xlarge,2025-03-17 09:50:33,64d5437,793ce6c1-b67a-4606-8942-fcb30f306492,366307.69,0.05,0.016,0.055,0.063,0.071,0.887,SET
10,3,,,,,,host,direct,c6i.16xlarge,2025-03-17 09:50:33,64d5437,795bb585-7e59-4fea-9ffa-e3991647d653,366307.69,0.05,0.016,0.055,0.063,0.079,0.639,SET
10,3,,,,,,host,direct,c6i.16xlarge,2025-03-17 09:50:33,64d5437,a57ab32f-b66b-48c3-97b6-4185b337571c,367654.41,0.05,0.016,0.055,0.063,0.079,0.647,SET
10,3,,,,,,host,direct,c6i.16xlarge,2025-03-17 09:50:33,64d5437,b1241c94-6a6e-499b-b1b6-74687d8c77d8,371754.66,0.05,0.016,0.047,0.063,0.071,0.855,SET
10,3,,,,,,host,direct,c6i.16xlarge,2025-03-17 09:50:33,64d5437,b178de0b-bb17-43e0-a0e2-60c5363c44ee,362326.09,0.05,0.016,0.055,0.063,0.071,0.895,SET
